Addresse,Code_insee,Departement,Latitude,Longitude,MinDistGar,MoyDistGar,train,rer,metro,tramway,Distance,DurationPoliceMin
Bois-d'Arcy 78390 (Raymond Falaize - Bois Gazé),78390,78,48.7997,2.0232,1.5241187488342416,31.62549813572827,1,0,0,0,2.169123527994632,0.135
Bois-le-Roi 77590,77590,77,48.4754789,2.6939537000000002,0.14207623482858653,52.70656713778576,1,0,0,0,6.787558470858738,0.2263888888888889
Boisemont 95000,95000,95,49.0223999,2.0026375,2.898459355635196,37.21453951529678,1,1,0,0,1.6492514203184783,0.09722222222222222
Boissettes 77350,77350,77,48.520592,2.6103240000000003,1.014274008643711,46.22451351454754,0,1,0,0,1.3654347554978974,0.27555555555555555
Boissise-le-Roi 77310,77310,77,48.5280356,2.5737655,0.22765842465016065,44.541248807067866,0,1,0,0,4.114447495463659,0.33361111111111114
Boissy-Mauvoisin 78200,78200,78,48.962299200000004,1.5814613000000002,3.62092858683767,60.52854888321631,1,0,0,0,9.270511851047326,0.30833333333333335
Boissy-Saint-Léger 94470 (Bois Clary),94470,94,48.753992,2.5298126,1.8677389762336485,27.27752297327896,0,1,0,0,1.9333475133537572,0.11055555555555556
Boissy-Saint-Léger 94470 (Centre-ville - Progrès),94470,94,48.7515,2.5116,0.5232817251374577,26.669648127312364,0,1,0,0,0.6348647074794866,0.06194444444444445
Boissy-Saint-Léger 94470 (Savreau - Gare),94470,94,48.7515,2.5116,0.5232817251374577,26.669648127312364,0,1,0,0,0.6348647074794866,0.06194444444444445
Boissy-l'Aillerie 95650,95650,95,49.0770562,2.0291683000000003,0.3362366334621931,39.586161398832594,1,0,0,0,5.945438714399759,0.19916666666666666
Boissy-la-Rivière 91690,91690,91,48.374679,2.1530914,5.887042492270499,58.028258470475095,0,1,0,0,7.030927213085359,0.20027777777777778
Boissy-le-Châtel 77169,77169,77,48.8268,3.1357,4.5461574516093295,62.063211183810395,1,0,0,0,3.896180268346299,0.11833333333333333
Boissy-le-Cutté 91590,91590,91,48.4706356,2.28429,5.2432943520799355,46.98501522630339,0,1,0,0,9.631154372621447,0.22777777777777777
Boissy-sous-Saint-Yon 91790,91790,91,48.5486852,2.2124998,3.5392713810558543,40.55784344102375,0,1,0,0,4.976479137814893,0.20222222222222222
Bondoufle 91070,91070,91,48.614973600000006,2.3835366000000002,2.9748453201617453,33.61444242207877,0,1,0,0,3.833153266858819,0.16166666666666665
Bondy 93140,93140,93,48.9031,2.48291,0.9651601887868433,23.051654693055937,0,0,0,1,0.27157950237312917,0.022222222222222223
